Comment,Designator,Footprint,LCSC Part #
"ESP32-S3-WROOM-1-N8R2 (C2913204 is the N8R2 variant; pick an N16R8 ID at order if the bigger memory is wanted)",U1,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204
"LSM6DS3TR-C",U2,LGA-14_L3.0-W2.5-P0.50-TL,C967633
"CR2032-BS-6-1 holder",BT1,BAT-TH_CR2032-BS-6-1,C70377
"TS-1187A tact (BOOT)",SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
"TS-1187A tact (RESET)",SW2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
"Red LED 0603",D1,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D2,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D3,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D4,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D5,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D6,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D7,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D8,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D9,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D10,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D11,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D12,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D13,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D14,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D15,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D16,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D17,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D18,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D19,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D20,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D21,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D22,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D23,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603",D24,LED-SMD_L1.6-W0.8-R-RD,C2286
"220R 0603",R1,R0603,C22962
"220R 0603",R2,R0603,C22962
"220R 0603",R3,R0603,C22962
"220R 0603",R4,R0603,C22962
"220R 0603",R5,R0603,C22962
"220R 0603",R6,R0603,C22962
"10k 0603",R9,R0603,C25804
"10k 0603",R10,R0603,C25804
"4.7k 0603",R11,R0603,C23162
"4.7k 0603",R12,R0603,C23162
"100nF 0603",C1,C0603,C14663
"100nF 0603",C2,C0603,C14663
"100nF 0603",C3,C0603,C14663
"100nF 0603",C4,C0603,C14663
"100nF 0603",C5,C0603,C14663
"10uF 0805",C8,C0805,C15850
"22uF 0805",C9,C0805,C45783
"22uF 0805 (subst: no basic 100uF in 0805; consider 1206/100uF next rev)",C10,C0805,C45783
"ST25DV04KC-IE6S3 NFC tag",U4,SO-8_L4.9-W3.9-P1.27-LS5.9-BL,C3304276
"100nF 0603",C11,C0603,C14663
"62pF NP0 0603 (tune after VNA; 56-68pF window)",C12,C0603,select-at-order
"100k 0603",R14,R0603,C25803
